,credit_score,age,tenure,balance,num_of_products,has_cr_card,is_active_member,estimated_salary,geography_Germany,geography_Spain,gender_Male
2515,564,40,4.0,0.0,1,1,0,85455.62,0,0,1
4669,443,50,3.0,117206.3,1,1,0,42840.18,1,0,1
5568,693,38,5.0,198338.77,2,1,1,14278.18,0,0,1
6237,630,28,5.0,0.0,2,1,1,133267.78,0,0,0
2386,541,46,4.0,124547.13,2,1,0,94499.06,0,0,1
776,622,58,7.0,116922.25,1,1,0,120415.61,1,0,0
3598,720,37,8.0,156282.79,1,1,0,45985.52,1,0,0
7171,637,30,6.0,122641.56,2,1,0,65618.01,1,0,1
2736,741,36,8.0,116993.43,2,1,0,168816.22,1,0,1
6061,544,47,5.0,105245.21,1,0,0,99922.08,1,0,1
7956,850,81,5.0,0.0,2,1,1,44827.47,0,0,1
1350,717,41,3.0,135756.96,1,1,1,103706.41,0,0,0
8885,668,45,4.0,102486.21,2,1,1,158379.25,0,1,1
5509,597,33,9.0,0.0,2,1,0,49374.82,0,0,1
5408,682,54,0.0,83102.72,2,1,1,54132.93,0,1,0
196,616,32,6.0,0.0,2,1,1,43001.46,0,1,0
2229,757,44,5.0,140856.16,2,1,0,158735.1,0,1,1
7199,649,32,7.0,0.0,1,1,0,28797.32,0,1,0
9514,845,28,9.0,0.0,2,1,1,56185.98,0,0,0
8542,688,40,8.0,150679.71,2,0,1,196226.38,1,0,0
8118,577,28,7.0,0.0,1,1,0,143274.41,0,1,1
6454,597,35,0.0,127510.99,1,1,1,155356.34,0,1,1
5161,842,46,9.0,0.0,1,0,0,17268.02,0,1,1
8930,724,69,5.0,117866.92,1,1,1,62280.91,0,0,0
8098,770,68,2.0,183555.24,1,0,0,159557.28,0,0,0
3061,584,33,3.0,88311.48,2,1,1,177651.38,1,0,1
1592,521,29,3.0,60280.62,1,1,0,154271.41,0,1,1
5410,623,28,4.0,0.0,2,1,0,41227.67,0,0,0
6249,705,48,0.0,0.0,2,0,0,149772.61,0,0,0
308,614,50,4.0,137104.47,1,1,0,127166.49,0,0,1
5166,455,43,5.0,0.0,1,1,1,81250.79,0,1,0
4426,707,44,6.0,0.0,2,1,1,192542.17,0,0,0
4587,500,34,6.0,0.0,1,1,1,140268.45,0,0,0
4097,597,26,7.0,0.0,2,1,0,110253.2,0,1,0
8356,731,26,3.0,0.0,2,1,0,37697.29,0,1,0
2418,614,40,6.0,0.0,1,1,1,20339.79,0,0,1
913,756,27,1.0,131899.0,1,1,0,93302.29,1,0,1
3980,673,65,0.0,0.0,1,1,1,85733.33,0,0,1
5311,714,40,0.0,0.0,2,1,0,62762.12,0,0,0
5814,618,40,1.0,133245.52,2,1,1,54495.82,1,0,0
9956,520,46,5.0,85216.61,1,1,0,117369.52,0,0,0
4825,622,31,5.0,106260.67,1,1,1,2578.43,0,0,1
4932,683,29,0.0,157829.12,1,0,0,129891.66,0,0,0
1447,697,56,5.0,110802.03,1,1,1,50230.31,0,1,1
4912,748,60,0.0,152335.7,1,1,0,126743.33,0,0,1
8327,707,35,9.0,0.0,2,1,1,70403.65,0,0,0
6482,850,32,4.0,156001.68,2,1,1,151677.31,0,0,1
9042,731,29,5.0,179539.2,1,0,0,112010.02,0,0,1
9023,663,28,4.0,0.0,2,1,1,123969.64,0,0,1
6221,513,45,0.0,164649.52,3,1,0,49915.52,0,0,0
3060,569,43,7.0,0.0,2,1,1,77703.19,0,0,0
6645,850,37,4.0,126872.6,1,1,0,197266.58,0,0,1
5682,620,29,9.0,0.0,2,1,0,13133.88,0,1,1
3043,636,38,1.0,0.0,1,1,0,45015.38,0,0,0
1899,627,30,6.0,0.0,1,1,1,113408.47,0,1,0
1410,523,73,7.0,0.0,2,0,0,130883.9,0,0,0
2475,627,32,10.0,0.0,2,1,0,103287.62,0,0,1
149,416,32,0.0,0.0,2,0,1,878.87,0,0,1
4715,800,38,1.0,0.0,2,1,0,51553.43,0,1,1
5981,634,37,7.0,143258.85,2,1,0,192721.98,1,0,0
3054,540,67,1.0,88382.01,1,0,1,59457.0,0,1,1
955,706,44,4.0,129605.99,1,0,0,69865.49,0,0,0
3685,695,39,5.0,0.0,2,0,0,102763.69,0,1,0
7557,426,34,9.0,0.0,2,1,0,107876.91,0,0,1
6230,592,71,4.0,0.0,2,0,1,17013.54,0,0,1
2181,634,46,5.0,123642.36,1,1,1,49725.16,1,0,0
4609,581,34,1.0,0.0,2,0,1,81175.25,0,1,1
3949,554,43,5.0,99906.89,1,0,0,24983.39,1,0,1
2989,703,45,1.0,0.0,1,1,0,182784.11,0,1,0
5011,480,47,5.0,75408.33,1,1,0,25887.89,0,1,1
1983,748,40,4.0,0.0,2,1,0,132368.47,0,1,0
7939,720,26,10.0,51962.91,2,1,0,45507.24,0,0,1
1615,685,21,6.0,97956.5,1,1,1,164966.27,1,0,0
7056,725,31,8.0,0.0,2,1,1,59650.42,0,0,1
7311,707,37,1.0,0.0,2,0,1,6035.51,0,0,1
2680,625,39,5.0,0.0,2,1,0,32615.21,0,0,0
9055,630,55,2.0,0.0,1,1,1,106202.07,0,0,1
6508,850,42,6.0,84445.68,3,0,1,60021.34,1,0,1
7308,663,53,6.0,150200.23,1,0,1,151317.27,0,1,0
6826,547,51,1.0,0.0,2,1,1,56908.41,0,0,0
6239,613,47,6.0,146034.74,1,1,1,77146.14,0,0,1
630,589,61,1.0,0.0,1,1,0,61108.56,0,0,0
7155,515,45,7.0,120961.5,3,1,1,39288.11,1,0,1
7471,658,55,5.0,119327.93,1,0,1,119439.66,1,0,0
4558,792,34,1.0,0.0,1,0,1,86330.32,0,0,1
723,776,38,2.0,169824.46,1,1,0,169291.7,0,0,0
4242,526,50,5.0,124233.24,1,0,1,159456.87,1,0,1
4167,850,34,8.0,199229.14,1,0,0,68106.29,0,1,1
7610,762,36,5.0,119547.46,1,1,1,42693.65,0,0,1
4966,611,64,9.0,0.0,2,1,1,53277.15,0,0,1
3226,603,35,1.0,105346.03,2,1,1,130379.5,1,0,1
16,653,58,1.0,132602.88,1,1,0,5097.67,1,0,1
9540,727,46,3.0,115248.11,4,1,0,130752.01,1,0,1
3320,712,24,2.0,0.0,1,0,1,121232.51,0,0,1
667,503,29,3.0,0.0,2,1,1,143954.99,0,0,1
5873,598,40,9.0,0.0,1,1,0,68462.59,0,0,0
4082,778,29,6.0,150358.97,1,1,0,62454.01,1,0,0
5012,575,40,5.0,0.0,2,1,1,122488.59,0,0,1
189,687,34,7.0,111388.18,2,1,0,148564.76,1,0,0
5248,669,39,3.0,119452.03,1,1,1,171575.54,0,0,1
5752,752,36,5.0,0.0,2,1,1,48505.1,0,1,0
5712,660,35,9.0,113948.58,1,1,0,188891.96,1,0,1
6068,676,41,4.0,101457.14,1,1,1,79101.67,0,0,0
4838,556,40,9.0,129860.37,1,0,0,17992.94,0,0,0
1388,630,40,0.0,118633.08,1,0,1,60032.46,0,0,0
8197,617,54,6.0,102141.9,1,1,1,45325.26,0,0,1
5839,594,40,0.0,152092.44,2,1,1,83508.93,1,0,1
4667,749,54,3.0,144768.94,1,1,0,93336.3,1,0,1
8701,673,37,2.0,0.0,1,1,1,13624.02,0,0,1
9812,705,31,9.0,110941.93,2,1,0,163484.8,1,0,0
7314,588,36,2.0,0.0,2,1,0,92536.0,0,0,0
5978,586,41,3.0,63873.56,1,1,0,83753.64,0,1,1
536,639,35,10.0,128173.9,2,1,0,59093.39,1,0,1
7174,640,50,9.0,117565.03,2,0,0,82559.77,0,0,0
271,733,34,3.0,100337.96,3,1,0,48559.19,1,0,1
2375,815,39,6.0,0.0,1,1,1,85167.88,0,1,0
9926,803,36,1.0,0.0,2,1,1,149370.93,0,0,1
3858,695,45,9.0,43134.65,1,0,1,77330.35,0,0,1
7013,748,34,5.0,0.0,2,1,0,53584.03,0,0,0
9278,443,35,6.0,161111.45,1,0,0,13946.66,0,0,1
8512,612,39,5.0,170288.38,1,1,1,59601.15,0,1,1
1030,730,39,1.0,116537.6,1,0,0,145679.6,0,0,1
2670,598,64,9.0,0.0,1,0,1,13181.37,0,0,0
1500,630,50,1.0,81947.76,1,0,1,63606.22,0,0,1
4874,703,43,8.0,0.0,2,1,0,9704.66,0,0,1
8322,617,35,5.0,0.0,2,0,1,13066.3,0,0,0
656,549,25,6.0,193858.2,1,0,1,21600.11,0,1,1
4146,658,24,2.0,0.0,2,1,1,84694.49,0,0,0
3029,605,39,10.0,105317.73,2,1,0,138021.36,0,1,1
4367,573,50,0.0,159304.07,1,0,1,155915.24,0,1,1
2361,686,43,5.0,154846.24,2,1,1,151903.6,1,0,0
3538,554,43,2.0,120847.11,1,1,0,7611.61,1,0,0
1758,642,30,5.0,129753.69,1,1,0,582.53,1,0,0
7216,679,41,8.0,147726.98,3,1,0,172749.4,0,0,1
9141,850,43,8.0,92244.83,2,1,0,54949.73,1,0,0
597,646,39,5.0,111574.41,1,1,1,30838.51,1,0,1
9126,753,51,4.0,79811.72,2,0,1,68260.27,0,1,1
5718,648,37,7.0,0.0,2,1,0,194238.92,0,0,0
3209,525,26,7.0,153644.39,1,1,1,63197.88,0,0,1
1462,616,41,1.0,103560.57,1,1,0,236.45,1,0,0
7358,600,49,6.0,0.0,1,0,1,148087.88,0,0,0
9510,617,26,2.0,165947.99,2,0,1,168834.38,0,0,0
7005,751,43,1.0,114974.24,1,1,0,125920.54,0,0,1
5023,555,40,10.0,43028.77,1,1,0,170514.21,0,0,1
6972,595,52,9.0,0.0,1,1,1,106340.66,0,0,1
2086,725,32,0.0,0.0,2,1,1,138525.19,0,1,0
3337,579,56,4.0,99340.83,1,0,0,4523.74,0,1,1
9867,787,32,4.0,0.0,2,1,1,13238.93,0,0,1
